di-1474,57,22.9,8/7/2018 9:54:30,,crystal_dark,,0.0726,0.0748,0.0513,0.055,0.0551,0.0623,0.0607,0.0324,0.0533,0.0414,0.0336,0.0426,No Comment
di-1477,57,22.4,8/7/2018 16:39:30,355,crystal_rad,1 mCi Cs^137,0.2371,0.25,0.1987,0.213,0.2833,0.3208,0.3035,0.1725,0.1887,0.1758,0.1615,0.1505,No Comment
di-1479,57,22.1,8/7/2018 17:19:30,,crystal_dark,,0.0715,0.0766,0.0526,0.055,0.0543,0.0653,0.0565,0.0291,0.0507,0.0419,0.0312,0.0421,No Comment
di-1480,57,22.1,8/7/2018 16:54:30,,crystal_dark,,0.0721,0.0767,0.0528,0.057,0.051,0.0603,0.0578,0.0301,0.0522,0.0425,0.037,0.0403,No Comment
di-1483,57,22.2,8/7/2018 17:01:30,355,crystal_rad,1 mCi Cs^137,0.2284,0.2399,0.2058,0.221,0.3045,0.336,0.3037,0.1736,0.1834,0.1793,0.151,0.1546,No Comment
di-1485,57,21.9,8/7/2018 18:18:30,355,crystal_rad,1 mCi Cs^137,0.2356,0.2479,0.2073,0.225,0.2929,0.3197,0.2991,0.1682,0.1933,0.1759,0.1563,0.1501,No Comment
di-1487,57,21.9,8/7/2018 18:08:30,,crystal_dark,,0.0716,0.074,0.0514,0.054,0.0492,0.0602,0.057,0.0291,0.0485,0.0409,0.032,0.0396,No Comment
di-1490,57,22.3,8/7/2018 17:46:30,355,crystal_rad,1 mCi Cs^137,0.2286,0.238,0.1976,0.211,0.2946,0.3274,0.2411,0.1681,0.1905,0.1717,0.1553,0.1584,No Comment
di-1492,57,22.2,8/9/2018 16:58:30,355,crystal_rad,1 mCi Cs^137,0.2335,0.2437,0.2022,0.219,0.2941,0.3218,0.3046,0.1746,0.1863,0.1764,0.1629,0.1575,No Comment
di-1493,57,22.2,8/9/2018 17:03:30,355,crystal_rad,1 mCi Cs^137,0.2356,0.2437,0.2034,0.218,0.3015,0.3289,0.3045,0.171,0.1802,0.1802,0.1607,0.1591,No Comment
di-1495,57,22,8/9/2018 17:34:30,,crystal_dark,,0.0703,0.0721,0.0501,0.055,0.0494,0.0604,0.0552,0.0329,0.0502,0.0451,0.0313,0.0427,No Comment
di-1497,57,22.2,8/9/2018 17:07:30,355,crystal_rad,1 mCi Cs^137,0.24,0.2483,0.2028,0.22,0.29,0.3207,0.3124,0.1808,0.1832,0.1688,0.1567,0.1488,No Comment
